id,category,uk,us,source,notes
103,word,bloke,dude,https://preply.com/en/blog/british-english-vs-american-english-slang-compared/,
104,word,mortorway,highway,http://www.teacherdiane.com/blog/american-vs-british-english,
105,word,queue,line,Oxford Advanced  Learner's Dictionary 8th Edition,
106,word,post,mail,Oxford Advanced  Learner's Dictionary 8th Edition,
107,word,cinema,movie theater,Oxford Advanced  Learner's Dictionary 8th Edition,
108,word,,pacifer,Merriam-Webster's Collegiate Dictionary Eleventh Edition,"The British equivalent is ""dummy"", but it has many other meanings which can be used in American English"
109,phrase,car park,parking lot,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
110,phrase,,garage,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
111,word,bathrobe,dressing gown,Oxford Advanced  Learner's Dictionary 8th Edition,
112,word,pyjamas,pajamas,Oxford Advanced  Learner's Dictionary 8th Edition,
113,phrase,,round trip,Merriam-Webster's Collegiate Dictionary Eleventh Edition,"The British equivalent is ""return"", but it has many other meanings which I'm not sure are rarely used in American English"
114,word,cooker,stove,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
115,word,pram,baby carriage,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
116,word,pushchair,stroller,Oxford Advanced  Learner's Dictionary 8th Edition,
117,word,waistcoat,vest,Oxford Advanced  Learner's Dictionary 8th Edition,
118,word,buttocks,bum,"Merriam-Webster's Collegiate Dictionary Eleventh Edition
https://preply.com/en/blog/british-english-vs-american-english-slang-compared/",
119,word,shopping cart,trolley,https://preply.com/en/blog/british-english-vs-american-english-slang-compared/,
120,word,timetable,schedule,http://www.teacherdiane.com/blog/american-vs-british-english,
121,phrase,water butt,rain barrel,Oxford Advanced  Learner's Dictionary 8th Edition,
122,phrase,bird table,bird feeder,Oxford Advanced  Learner's Dictionary 8th Edition,
123,word,garden,yard,Oxford Advanced  Learner's Dictionary 8th Edition,
124,word,sun lounger,lounger,Oxford Advanced  Learner's Dictionary 8th Edition,
125,word,pub,bar,https://preply.com/en/blog/british-english-vs-american-english-slang-compared/,
126,word,pudding,dessert,Oxford Advanced  Learner's Dictionary 8th Edition,
127,word,sweet,candy,Oxford Advanced  Learner's Dictionary 8th Edition,
128,word,aubergine,eggplant,https://preply.com/en/blog/british-english-vs-american-english-slang-compared/,
129,word,porridge,oatmeal,Oxford Advanced  Learner's Dictionary 8th Edition,
130,word,jumper,sweater,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
131,word,knickers,panties,https://preply.com/en/blog/british-english-vs-american-english-slang-compared/,
132,spelling,organise,organize,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
133,spelling,recognise,recognize,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
134,spelling,realise,realize,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
135,spelling,analyse,analyze,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
136,spelling,catalyse,catalyze,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
137,spelling,hydrolyse,hydrolyze,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
138,spelling,paralyse,paralyze,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
139,spelling,analogue,analog,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,"In American English, analog is the standard spelling for the adjective (e.g., analog signal), while analogue is often preferred for the noun (e.g., meat analogue). According to Merriam-Webster's Collegiate Dictionary, analog is listed as the primary adjective form, while analogue is the principal noun form."
140,spelling,catalogue,catalog,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
141,spelling,homologue,homolog,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
142,spelling,pretence,pretense,https://www.oxfordinternationalenglish.com/differences-in-british-and-american-spelling/,
143,spelling,apologise,apologize,https://bau.edu/blog/british-english-vs-american-english/,
144,word,postbox,mailbox,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
145,spelling,jeweller,jeweler,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
146,spelling,marvellous,marvelous,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
147,spelling,appitiser,appitizer,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
148,spelling,familiarise,familiarize,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
149,spelling,enrol,enroll,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
150,spelling,fulfil,fulfill,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
151,spelling,skilful,skillfull,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
152,spelling,monologue,monolog,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,American English also recognizes words spelled with –ogue
153,spelling,mould,mold,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
154,spelling,tyre,tire,https://www.britishcouncilfoundation.id/en/english/articles/british-and-american-english,
155,spelling,woollen,woolen,Oxford Advanced  Learner's Dictionary 8th Edition,
156,spelling,medallist,medalist,Oxford Advanced  Learner's Dictionary 8th Edition,
157,spelling,panellist,panelist,Oxford Advanced  Learner's Dictionary 8th Edition,
158,spelling,tranquillise,,Oxford Advanced  Learner's Dictionary 8th Edition,"The common spelling in American English, ""tranquilize"" is also acceptable in British English"
160,spelling,tranquilliser,,Oxford Advanced  Learner's Dictionary 8th Edition,"The common spelling in American English, ""tranquilizer"" is also acceptable in British English"
162,spelling,tranquillity,tranquility,Oxford Advanced  Learner's Dictionary 8th Edition,
163,spelling,pupillage,pupilage,Oxford Advanced  Learner's Dictionary 8th Edition,
164,spelling,cancellation,cancelation,Oxford Advanced  Learner's Dictionary 8th Edition,
165,spelling,crystallise,,Oxford Advanced  Learner's Dictionary 8th Edition,"The common spelling in American English, ""crystallize"" is also acceptable in British English"
166,spelling,calliper,,Oxford Advanced  Learner's Dictionary 8th Edition,"The common spelling in American English, ""caliper"" is also acceptable in British English"
167,spelling,jewelled,jeweled,Oxford Advanced  Learner's Dictionary 8th Edition,
168,spelling,jewellery,jewelery,Oxford Advanced  Learner's Dictionary 8th Edition,
169,spelling,appal,appall,Oxford Advanced  Learner's Dictionary 8th Edition,
170,spelling,enrolment,enrollment,Oxford Advanced  Learner's Dictionary 8th Edition,
171,spelling,fulfilment,fullfillment,Oxford Advanced  Learner's Dictionary 8th Edition,
172,spelling,instalment,installment,Oxford Advanced  Learner's Dictionary 8th Edition,
173,spelling,thraldom,thralldom,https://en.wikipedia.org/wiki/American_and_British_English_spelling_differences,
174,spelling,wilful,willfull,Oxford Advanced  Learner's Dictionary 8th Edition,
175,spelling,distil,distill,Oxford Advanced  Learner's Dictionary 8th Edition,
176,spelling,enthral,enthrall,Oxford Advanced  Learner's Dictionary 8th Edition,
177,spelling,instil,instill,Oxford Advanced  Learner's Dictionary 8th Edition,
178,spelling,ageing,aging,Oxford Advanced  Learner's Dictionary 8th Edition,
179,spelling,ageism,agism,Oxford Advanced  Learner's Dictionary 8th Edition,
180,spelling,duelling,dueling,Oxford Advanced  Learner's Dictionary 8th Edition,
181,spelling,bathe,bath,Oxford Advanced  Learner's Dictionary 8th Edition,verb
182,phrase,ground floor ,first floor ,Oxford Advanced  Learner's Dictionary 8th Edition,
183,spelling,enquire,,Merriam-Webster's Collegiate Dictionary Eleventh Edition,"The equivalent in American English, ""inquire"", is also acceptable in British English"
184,spelling,enquiry,,Merriam-Webster's Collegiate Dictionary Eleventh Edition,"The equivalent in American English, ""enquire"", is also acceptable in British English"
185,spelling,aeroplane,airplane,Oxford Advanced  Learner's Dictionary 8th Edition,
186,spelling,aluminium,aluminum,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
187,spelling,arse,ass,Oxford Advanced  Learner's Dictionary 8th Edition,
188,spelling,behove,behoove,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
189,spelling,brent,brant,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
190,spelling,carburettor,carburetor,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
191,spelling,carburetter,,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
192,spelling,carburise,carburize,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
193,spelling,eyrie,aerie,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
194,spelling,fount,font,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
195,spelling,furore,furor,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
196,spelling,haulier,hauler,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
197,spelling,jemmy,jimmy,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
198,spelling,mum,mom,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
199,spelling,naivety,naïveté,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
200,spelling,neurone,neuron,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
201,spelling,orientated,oriented,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
202,spelling,pernickety,persnickety,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
203,spelling,quin,quint,Oxford Advanced  Learner's Dictionary 8th Edition,
204,spelling,plonk,plunk,Oxford Advanced  Learner's Dictionary 8th Edition,
205,spelling,scallywag,scalawag,Oxford Advanced  Learner's Dictionary 8th Edition,
206,spelling,sledge,sled,Oxford Advanced  Learner's Dictionary 8th Edition,
207,spelling,titbit,tidbit,Oxford Advanced  Learner's Dictionary 8th Edition,
208,spelling,annexe,annex,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
209,spelling,artefact,artifact,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
210,spelling,axe,axe,Oxford Advanced  Learner's Dictionary 8th Edition,
211,spelling,,karat,Merriam-Webster's Collegiate Dictionary Eleventh Edition,"The equivalent in British English, ""carat"", is also used in American English"
212,spelling,cheque,,Merriam-Webster's Collegiate Dictionary Eleventh Edition,"The equivalent in American English, ""check"", is also used in British English"
213,spelling,chequer,,Merriam-Webster's Collegiate Dictionary Eleventh Edition,"The equivalent in American English, ""checker"", is also used in British English"
214,spelling,chequered,checkered,Oxford Advanced  Learner's Dictionary 8th Edition,
215,spelling,chilli,chili,Oxford Advanced  Learner's Dictionary 8th Edition,
216,spelling,cypher,cipher,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
217,spelling,cosy,cozy,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
218,spelling,coulter,colter,Oxford Dictionary of English Second Edition Revised,
219,spelling,,donut,Oxford Dictionary of English Second Edition Revised,"The equivalent in British English, ""doughnut"", is also used in American English"
220,spelling,draught,draft,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
221,spelling,draughty,drafty,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
222,spelling,dyke,dike,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
223,spelling,,gantlet,Oxford Dictionary of English Second Edition Revised,"The equivalent in British English, ""gauntlet"", is also used in American English"
224,spelling,glycerine,glycerin,Oxford Dictionary of English Second Edition Revised,
225,spelling,grey,gray,Oxford Dictionary of English Second Edition Revised,
226,spelling,gaol,jail,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
227,spelling,gaoler,jailer,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
228,spelling,kerb,curb,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
229,spelling,gramme,,Merriam-Webster's Collegiate Dictionary Eleventh Edition,"The equivalent in American English, ""gram"", is also used in British English"
230,spelling,liquorice,licorice,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
231,spelling,mollusc,mollusk,Oxford Dictionary of English Second Edition Revised,
232,spelling,moulding,molding,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
233,spelling,moult,molt,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
234,spelling,,omelet,Oxford Dictionary of English Second Edition Revised,"The equivalent in British English, ""omelette"", is also used in American English"
235,spelling,plough,plow,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
236,spelling,programme,program,Oxford Advanced  Learner's Dictionary 8th Edition,
237,spelling,sceptic,skeptic,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
238,spelling,sceptical,skeptical,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
239,spelling,scepticism,skepticism,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
240,spelling,smoulder,smolder,Oxford Dictionary of English Second Edition Revised,
241,spelling,storey,story,Oxford Dictionary of English Second Edition Revised,
242,spelling,sulphide,sulfide,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
243,spelling,sulphate,sulfate,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
244,spelling,slphurise,sulfurize,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
245,spelling,,thru,Oxford Dictionary of English Second Edition Revised,"Informal spelling ""through"" used in American English"
246,spelling,vice,vise,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
247,spelling,waggon,wagon,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
248,spelling,sceptre,scepter,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
249,phrase,any more,anymore,Oxford Dictionary of English Second Edition Revised,
250,phrase,for ever,,Oxford Advanced  Learner's Dictionary 8th Edition,"The equivalent in American English, ""forever"", is also used in British English"
251,phrase,for evermore,forevermore,Oxford Dictionary of English Second Edition Revised,
252,phrase,forever more,,Oxford Dictionary of English Second Edition Revised,
253,phrase,,light into,Oxford Dictionary of English Second Edition Revised,
254,phrase,,light out,Oxford Dictionary of English Second Edition Revised,
255,spelling,,chanty,Oxford Advanced  Learner's Dictionary 8th Edition,"The equivalent in British English, ""shanty"", is also used in American English."
256,spelling,,chantey,Oxford Advanced  Learner's Dictionary 8th Edition,"The equivalent in British English, ""shanty"", is also used in American English."
257,phrase,appeal against,,https://en.wikipedia.org/wiki/American_and_British_English_grammatical_differences,
258,phrase,have got to,,https://dictionary.cambridge.org/us/grammar/british-grammar/british-and-american-english#google_vignette,
259,phrase,I shall,,https://dictionary.cambridge.org/us/grammar/british-grammar/british-and-american-english#google_vignette,
260,phrase,we shall,,https://dictionary.cambridge.org/us/grammar/british-grammar/british-and-american-english#google_vignette,
261,phrase,be well,,https://dictionary.cambridge.org/us/grammar/british-grammar/british-and-american-english#google_vignette,
262,phrase,claim for,,https://en.wikipedia.org/wiki/American_and_British_English_grammatical_differences,
263,phrase,,meet with,https://en.wikipedia.org/wiki/American_and_British_English_grammatical_differences,
264,phrase,at rush hour,in rush-hour traffic,https://en.wikipedia.org/wiki/American_and_British_English_grammatical_differences,
265,phrase,in future,,https://en.wikipedia.org/wiki/American_and_British_English_grammatical_differences,
266,phrase,,in back of,https://en.wikipedia.org/wiki/American_and_British_English_grammatical_differences,
267,phrase,take a decision,,https://en.wikipedia.org/wiki/American_and_British_English_grammatical_differences,
268,phrase,,an herb,https://en.wikipedia.org/wiki/American_and_British_English_grammatical_differences,
269,spelling,soliloquise,soliloquize,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
270,spelling,marbleise,marbleize,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,,,,,
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,,,,,
447,,,,,
448,,,,,
449,,,,,
450,,,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,,,,,
460,,,,,
461,,,,,
462,,,,,
463,,,,,
464,,,,,
465,,,,,
466,,,,,
467,,,,,
468,,,,,
469,,,,,
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,,,,,
486,,,,,
487,,,,,
488,,,,,
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
497,,,,,
498,,,,,
499,,,,,
500,,,,,
501,,,,,
502,,,,,
503,,,,,
504,,,,,
505,,,,,
506,,,,,
507,,,,,
508,,,,,
509,,,,,
510,,,,,
511,,,,,
512,,,,,
513,,,,,
514,,,,,
515,,,,,
516,,,,,
517,,,,,
518,,,,,
519,,,,,
520,,,,,
521,,,,,
522,,,,,
523,,,,,
524,,,,,
525,,,,,
526,,,,,
527,,,,,
528,,,,,
529,,,,,
530,,,,,
531,,,,,
532,,,,,
533,,,,,
534,,,,,
535,,,,,
536,,,,,
537,,,,,
538,,,,,
539,,,,,
540,,,,,
541,,,,,
542,,,,,
543,,,,,
544,,,,,
545,,,,,
546,,,,,
547,,,,,
548,,,,,
549,,,,,
550,,,,,
551,,,,,
552,,,,,
553,,,,,
554,,,,,
555,,,,,
556,,,,,
557,,,,,
558,,,,,
559,,,,,
560,,,,,
561,,,,,
562,,,,,
563,,,,,
564,,,,,
565,,,,,
566,,,,,
567,,,,,
568,,,,,
569,,,,,
570,,,,,
571,,,,,
572,,,,,
573,,,,,
574,,,,,
575,,,,,
576,,,,,
577,,,,,
578,,,,,
579,,,,,
580,,,,,
581,,,,,
582,,,,,
583,,,,,
584,,,,,
585,,,,,
586,,,,,
587,,,,,
588,,,,,
589,,,,,
590,,,,,
591,,,,,
592,,,,,
593,,,,,
594,,,,,
595,,,,,
596,,,,,
597,,,,,
598,,,,,
599,,,,,
600,,,,,
601,,,,,
602,,,,,
603,,,,,
604,,,,,
605,,,,,
606,,,,,
607,,,,,
608,,,,,
609,,,,,
610,,,,,
611,,,,,
612,,,,,
613,,,,,
614,,,,,
615,,,,,
616,,,,,
617,,,,,
618,,,,,
619,,,,,
620,,,,,
621,,,,,
622,,,,,
623,,,,,
624,,,,,
625,,,,,
626,,,,,
627,,,,,
628,,,,,
629,,,,,
630,,,,,
631,,,,,
632,,,,,
633,,,,,
634,,,,,
635,,,,,
636,,,,,
637,,,,,
638,,,,,
639,,,,,
640,,,,,
641,,,,,
642,,,,,
643,,,,,
644,,,,,
645,,,,,
646,,,,,
647,,,,,
648,,,,,
649,,,,,
650,,,,,
651,,,,,
652,,,,,
653,,,,,
654,,,,,
655,,,,,
656,,,,,
657,,,,,
658,,,,,
659,,,,,
660,,,,,
661,,,,,
662,,,,,
663,,,,,
664,,,,,
665,,,,,
666,,,,,
667,,,,,
668,,,,,
669,,,,,
670,,,,,
671,,,,,
672,,,,,
673,,,,,
674,,,,,
675,,,,,
676,,,,,
677,,,,,
678,,,,,
679,,,,,
680,,,,,
681,,,,,
682,,,,,
683,,,,,
684,,,,,
685,,,,,
686,,,,,
687,,,,,
688,,,,,
689,,,,,
690,,,,,
691,,,,,
692,,,,,
693,,,,,
694,,,,,
695,,,,,
696,,,,,
697,,,,,
698,,,,,
699,,,,,
700,,,,,
701,,,,,
702,,,,,
703,,,,,
704,,,,,
705,,,,,
706,,,,,
707,,,,,
708,,,,,
709,,,,,
710,,,,,
711,,,,,
712,,,,,
713,,,,,
714,,,,,
715,,,,,
