id,category,uk,us,source,notes
51,phrase,public transport,public transportation,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
52,phrase,,mass transit,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
53,phrase,,public transit,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
54,phrase,racing car,race car,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
55,phrase,,construction zone,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
56,phrase,,traffic circle,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
57,phrase,single carriageway,undivided highway,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
58,phrase,ticking over,,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
59,phrase,train carriage,passenger car,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
60,phrase,train coach,,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
61,phrase,transport café,truck stop,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
62,phrase,transport caff,,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
63,phrase,the underground,,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
64,phrase,the tube,,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
65,phrase,,light truck,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
66,phrase,box van,box truck,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
67,phrase,light commercial vehicle,,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
68,phrase,delivery van,panel truck,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
69,phrase,,sedan delivery,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
70,phrase,car valeting,auto detailing,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
71,phrase,at the weekend,on the weekend,http://www.teacherdiane.com/blog/american-vs-british-english,
72,phrase,at Christmas,on Christmas,http://www.teacherdiane.com/blog/american-vs-british-english,
73,phrase,car park,parking lot,Merriam-Webster's Collegiate Dictionary Eleventh Edition,
74,phrase,water butt,rain barrel,Oxford Advanced  Learner's Dictionary 8th Edition,
75,phrase,bird table,bird feeder,Oxford Advanced  Learner's Dictionary 8th Edition,
76,phrase,ground floor ,first floor ,Oxford Advanced  Learner's Dictionary 8th Edition,
77,phrase,car journey,road trip,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
78,phrase,central reservation,median strip,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
79,phrase,driving licence,driver's license,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
80,phrase,dual carriageway,divided highway,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
81,phrase,estate car,station wagon,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
82,phrase,goods train,freight train,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
83,phrase,goods wagon,freight car,https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,
84,phrase,accident and emergency,emergency room,Oxford Advanced  Learner's Dictionary 8th Edition,
85,phrase,,acquaintance rape,Oxford Advanced  Learner's Dictionary 8th Edition,
86,phrase,action replay,instant replay,Oxford Advanced  Learner's Dictionary 8th Edition,
87,phrase,actual bodily harm,,Oxford Advanced  Learner's Dictionary 8th Edition,
88,phrase,adjustable spanner,monkey wrench,Oxford Advanced  Learner's Dictionary 8th Edition,
89,phrase,agony column,advice column,Oxford Advanced  Learner's Dictionary 8th Edition,
90,phrase,agony columnist,advice aunt,Oxford Advanced  Learner's Dictionary 8th Edition,
91,phrase,,advice uncle,Oxford Advanced  Learner's Dictionary 8th Edition,
92,phrase,positive discrimination,affirmative action,Oxford Advanced  Learner's Dictionary 8th Edition,
93,phrase,air hostess,,Oxford Advanced  Learner's Dictionary 8th Edition,
94,phrase,airing cupboard,,Oxford Advanced  Learner's Dictionary 8th Edition,
95,phrase,Alice band,,Oxford Advanced  Learner's Dictionary 8th Edition,
96,phrase,Allen key,Allen wrench,Oxford Advanced  Learner's Dictionary 8th Edition,
97,phrase,,all-points bulletin,Oxford Advanced  Learner's Dictionary 8th Edition,
98,phrase,plain flour,all-purpose flour,Oxford Advanced  Learner's Dictionary 8th Edition,
99,phrase,American football,,Oxford Advanced  Learner's Dictionary 8th Edition,
100,phrase,amusement arcade,,Oxford Advanced  Learner's Dictionary 8th Edition,
101,phrase,,animal control officer,Oxford Advanced  Learner's Dictionary 8th Edition,
102,phrase,ankle sock,,Oxford Advanced  Learner's Dictionary 8th Edition,
103,phrase,the Antipodes,,Oxford Advanced  Learner's Dictionary 8th Edition,
104,phrase,any time,,Oxford Advanced  Learner's Dictionary 8th Edition,
105,phrase,,aside from,Oxford Advanced  Learner's Dictionary 8th Edition,
106,phrase,apartment block,apartment building,Oxford Advanced  Learner's Dictionary 8th Edition,
107,phrase,,apartment house,Oxford Advanced  Learner's Dictionary 8th Edition,
108,phrase,approved school,,Oxford Advanced  Learner's Dictionary 8th Edition,
109,phrase,the armed services,,Oxford Advanced  Learner's Dictionary 8th Edition,
110,phrase,artificial ventilation,,Oxford Advanced  Learner's Dictionary 8th Edition,
111,phrase,arum lily,,Oxford Advanced  Learner's Dictionary 8th Edition,
112,phrase,assault course,obstacle course,Oxford Advanced  Learner's Dictionary 8th Edition,
113,phrase,assembly room,,Oxford Advanced  Learner's Dictionary 8th Edition,
114,phrase,asymetric bars,uneven bars,Oxford Advanced  Learner's Dictionary 8th Edition,
115,phrase,cash card,ATM card,Oxford Advanced  Learner's Dictionary 8th Edition,
116,phrase,avocado pear,,Oxford Advanced  Learner's Dictionary 8th Edition,
117,phrase,baby boomer,,Oxford Advanced  Learner's Dictionary 8th Edition,
118,phrase,puppy fat,baby fat,Oxford Advanced  Learner's Dictionary 8th Edition,
119,phrase,,baby shower,Oxford Advanced  Learner's Dictionary 8th Edition,
120,phrase,milk tooth,,Oxford Advanced  Learner's Dictionary 8th Edition,
121,phrase,baby walker,,Oxford Advanced  Learner's Dictionary 8th Edition,
122,phrase,stag night,bachelor party,Oxford Advanced  Learner's Dictionary 8th Edition,
123,phrase,stag party,,Oxford Advanced  Learner's Dictionary 8th Edition,
124,phrase,,back talk,Oxford Advanced  Learner's Dictionary 8th Edition,
125,phrase,back copy,,Oxford Advanced  Learner's Dictionary 8th Edition,
126,phrase,back end,,Oxford Advanced  Learner's Dictionary 8th Edition,
127,phrase,back number,,Oxford Advanced  Learner's Dictionary 8th Edition,
128,phrase,back passage,,Oxford Advanced  Learner's Dictionary 8th Edition,
129,phrase,back-room boy,,Oxford Advanced  Learner's Dictionary 8th Edition,
130,phrase,reversing light,backup light,Oxford Advanced  Learner's Dictionary 8th Edition,
131,phrase,luggage van,baggage car,Oxford Advanced  Learner's Dictionary 8th Edition,
132,phrase,baggage reclaim,baggage claim,Oxford Advanced  Learner's Dictionary 8th Edition,
133,phrase,,bag lunch,Oxford Advanced  Learner's Dictionary 8th Edition,
134,phrase,,bake sale,Oxford Advanced  Learner's Dictionary 8th Edition,
135,phrase,,baking flour,Oxford Advanced  Learner's Dictionary 8th Edition,
136,phrase,baking sheet,cookie sheet,Oxford Advanced  Learner's Dictionary 8th Edition,
137,phrase,baking tray,,Oxford Advanced  Learner's Dictionary 8th Edition,
138,phrase,,balance beam,Oxford Advanced  Learner's Dictionary 8th Edition,
139,phrase,ballot paper,,Oxford Advanced  Learner's Dictionary 8th Edition,
140,phrase,,banana belt,Oxford Advanced  Learner's Dictionary 8th Edition,
141,phrase,banana skin,,Oxford Advanced  Learner's Dictionary 8th Edition,
142,phrase,stckinig plaster,,Oxford Advanced  Learner's Dictionary 8th Edition,
143,phrase,b and b,,Oxford Advanced  Learner's Dictionary 8th Edition,
144,phrase,b & b,,Oxford Advanced  Learner's Dictionary 8th Edition,
145,phrase,banged up,,Oxford Advanced  Learner's Dictionary 8th Edition,
146,phrase,banker's card,,Oxford Advanced  Learner's Dictionary 8th Edition,
147,phrase,banker's order,,Oxford Advanced  Learner's Dictionary 8th Edition,
148,phrase,bank holiday,,Oxford Advanced  Learner's Dictionary 8th Edition,
149,phrase,banner year,,Oxford Advanced  Learner's Dictionary 8th Edition,
150,phrase,bar billiards,,Oxford Advanced  Learner's Dictionary 8th Edition,
151,phrase,bargaining counter,,Oxford Advanced  Learner's Dictionary 8th Edition,
152,phrase,barking mad,,Oxford Advanced  Learner's Dictionary 8th Edition,
153,phrase,barley water,,Oxford Advanced  Learner's Dictionary 8th Edition,
154,phrase,barrow boy,,Oxford Advanced  Learner's Dictionary 8th Edition,
155,phrase,Moses basket,,Oxford Advanced  Learner's Dictionary 8th Edition,
156,phrase,swimming cap,bathing cap,Oxford Advanced  Learner's Dictionary 8th Edition,
157,phrase,swimming hat,,Oxford Advanced  Learner's Dictionary 8th Edition,
158,phrase,bathing costume,,Oxford Advanced  Learner's Dictionary 8th Edition,
159,phrase,,bathing suit,Oxford Advanced  Learner's Dictionary 8th Edition,
160,phrase,baton round,,Oxford Advanced  Learner's Dictionary 8th Edition,
161,phrase,battery farm,,Oxford Advanced  Learner's Dictionary 8th Edition,
162,phrase,beauty contest,,Oxford Advanced  Learner's Dictionary 8th Edition,
163,phrase,,beauty mark,Oxford Advanced  Learner's Dictionary 8th Edition,
164,phrase,beauty salon,,Oxford Advanced  Learner's Dictionary 8th Edition,
165,phrase,beauty parlour,,Oxford Advanced  Learner's Dictionary 8th Edition,
166,phrase,,beauty school,Oxford Advanced  Learner's Dictionary 8th Edition,
167,phrase,bed and board,,Oxford Advanced  Learner's Dictionary 8th Edition,
168,phrase,dormitory town,bedroom community,Oxford Advanced  Learner's Dictionary 8th Edition,
169,phrase,,bedroom suburb,Oxford Advanced  Learner's Dictionary 8th Edition,
170,phrase,beside trade,,Oxford Advanced  Learner's Dictionary 8th Edition,
171,phrase,,night table,Oxford Advanced  Learner's Dictionary 8th Edition,
172,phrase,bedsitting room,,Oxford Advanced  Learner's Dictionary 8th Edition,
173,phrase,beef tea,,Oxford Advanced  Learner's Dictionary 8th Edition,
174,phrase,beef tomato,beefsteak tomato,Oxford Advanced  Learner's Dictionary 8th Edition,
175,phrase,beer mat,,Oxford Advanced  Learner's Dictionary 8th Edition,
176,phrase,,bell pepper,Oxford Advanced  Learner's Dictionary 8th Edition,
177,phrase,bell push,,Oxford Advanced  Learner's Dictionary 8th Edition,
178,phrase,,belt way,Oxford Advanced  Learner's Dictionary 8th Edition,
179,phrase,bendy bus,,Oxford Advanced  Learner's Dictionary 8th Edition,
180,phrase,best-before date,,Oxford Advanced  Learner's Dictionary 8th Edition,
181,phrase,betting shop,,Oxford Advanced  Learner's Dictionary 8th Edition,
182,phrase,,bib overalls,Oxford Advanced  Learner's Dictionary 8th Edition,
183,phrase,cycle lane,bicycle lane,Oxford Advanced  Learner's Dictionary 8th Edition,
184,phrase,,bike lane,Oxford Advanced  Learner's Dictionary 8th Edition,
185,phrase,,big box,Oxford Advanced  Learner's Dictionary 8th Edition,
186,phrase,,big-box store,Oxford Advanced  Learner's Dictionary 8th Edition,
187,phrase,,big bucks,Oxford Advanced  Learner's Dictionary 8th Edition,
188,phrase,big dipper,,Oxford Advanced  Learner's Dictionary 8th Edition,
189,phrase,the Plough,the Big Dipper,Oxford Advanced  Learner's Dictionary 8th Edition,
190,phrase,,big league,Oxford Advanced  Learner's Dictionary 8th Edition,
191,phrase,,Big Man on Campus,Oxford Advanced  Learner's Dictionary 8th Edition,
192,phrase,,Big Muddy,Oxford Advanced  Learner's Dictionary 8th Edition,
193,phrase,the bog smoke,,Oxford Advanced  Learner's Dictionary 8th Edition,
194,phrase,the Big Wheel,,Oxford Advanced  Learner's Dictionary 8th Edition,
195,phrase,,billy club,Oxford Advanced  Learner's Dictionary 8th Edition,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,,,,,
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,,,,,
447,,,,,
448,,,,,
449,,,,,
450,,,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,,,,,
460,,,,,
461,,,,,
462,,,,,
463,,,,,
464,,,,,
465,,,,,
466,,,,,
467,,,,,
468,,,,,
469,,,,,
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,,,,,
486,,,,,
487,,,,,
488,,,,,
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
497,,,,,
498,,,,,
499,,,,,
500,,,,,
501,,,,,
502,,,,,
503,,,,,
504,,,,,
505,,,,,
506,,,,,
507,,,,,
508,,,,,
509,,,,,
510,,,,,
511,,,,,
512,,,,,
513,,,,,
514,,,,,
515,,,,,
516,,,,,
517,,,,,
518,,,,,
519,,,,,
520,,,,,
521,,,,,
522,,,,,
523,,,,,
524,,,,,
525,,,,,
526,,,,,
527,,,,,
528,,,,,
529,,,,,
530,,,,,
531,,,,,
532,,,,,
533,,,,,
534,,,,,
535,,,,,
536,,,,,
537,,,,,
538,,,,,
539,,,,,
540,,,,,
541,,,,,
542,,,,,
543,,,,,
544,,,,,
545,,,,,
546,,,,,
547,,,,,
548,,,,,
549,,,,,
550,,,,,
551,,,,,
552,,,,,
553,,,,,
554,,,,,
555,,,,,
556,,,,,
557,,,,,
558,,,,,
559,,,,,
560,,,,,
561,,,,,
562,,,,,
563,,,,,
564,,,,,
565,,,,,
566,,,,,
567,,,,,
568,,,,,
569,,,,,
570,,,,,
571,,,,,
572,,,,,
573,,,,,
574,,,,,
575,,,,,
576,,,,,
577,,,,,
578,,,,,
579,,,,,
580,,,,,
581,,,,,
582,,,,,
583,,,,,
584,,,,,
585,,,,,
586,,,,,
587,,,,,
588,,,,,
589,,,,,
590,,,,,
591,,,,,
592,,,,,
593,,,,,
594,,,,,
595,,,,,
596,,,,,
597,,,,,
598,,,,,
599,,,,,
600,,,,,
601,,,,,
602,,,,,
603,,,,,
604,,,,,
605,,,,,
606,,,,,
607,,,,,
608,,,,,
609,,,,,
610,,,,,
611,,,,,
612,,,,,
613,,,,,
614,,,,,
615,,,,,
616,,,,,
617,,,,,
618,,,,,
619,,,,,
620,,,,,
621,,,,,
622,,,,,
623,,,,,
624,,,,,
625,,,,,
626,,,,,
627,,,,,
628,,,,,
629,,,,,
630,,,,,
631,,,,,
632,,,,,
633,,,,,
634,,,,,
635,,,,,
636,,,,,
637,,,,,
638,,,,,
639,,,,,
640,,,,,
641,,,,,
642,,,,,
643,,,,,
644,,,,,
645,,,,,
646,,,,,
647,,,,,
648,,,,,
649,,,,,
650,,,,,
651,,,,,
652,,,,,
653,,,,,
654,,,,,
655,,,,,
656,,,,,
657,,,,,
658,,,,,
659,,,,,
660,,,,,
661,,,,,
662,,,,,
663,,,,,
664,,,,,
665,,,,,
666,,,,,
667,,,,,
668,,,,,
669,,,,,
670,,,,,
671,,,,,
672,,,,,
673,,,,,
674,,,,,
675,,,,,
676,,,,,
677,,,,,
678,,,,,
679,,,,,
680,,,,,
681,,,,,
682,,,,,
683,,,,,
684,,,,,
685,,,,,
686,,,,,
687,,,,,
688,,,,,
689,,,,,
690,,,,,
691,,,,,
692,,,,,
693,,,,,
694,,,,,
695,,,,,
696,,,,,
697,,,,,
698,,,,,
699,,,,,
700,,,,,
701,,,,,
702,,,,,
703,,,,,
704,,,,,
705,,,,,
706,,,,,
707,,,,,
708,,,,,
709,,,,,
710,,,,,
711,,,,,
712,,,,,
713,,,,,
714,,,,,
715,,,,,
716,,,,,
717,,,,,
718,,,,,
719,,,,,
720,,,,,
721,,,,,
722,,,,,
723,,,,,
724,,,,,
725,,,,,
726,,,,,
727,,,,,
728,,,,,
729,,,,,
730,,,,,
731,,,,,
732,,,,,
733,,,,,
734,,,,,
735,,,,,
736,,,,,
737,,,,,
738,,,,,
739,,,,,
740,,,,,
741,,,,,
742,,,,,
743,,,,,
744,,,,,
745,,,,,
746,,,,,
747,,,,,
748,,,,,
749,,,,,
750,,,,,
751,,,,,
752,,,,,
753,,,,,
754,,,,,
755,,,,,
756,,,,,
757,,,,,
758,,,,,
759,,,,,
760,,,,,
761,,,,,
762,,,,,
763,,,,,
764,,,,,
765,,,,,
766,,,,,
767,,,,,
768,,,,,
769,,,,,
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,,,,,
775,,,,,
776,,,,,
777,,,,,
778,,,,,
779,,,,,
780,,,,,
781,,,,,
782,,,,,
783,,,,,
784,,,,,
785,,,,,
786,,,,,
787,,,,,
788,,,,,
789,,,,,
790,,,,,
791,,,,,
792,,,,,
793,,,,,
794,,,,,
795,,,,,
796,,,,,
797,,,,,
798,,,,,
799,,,,,
800,,,,,
801,,,,,
802,,,,,
803,,,,,
804,,,,,
805,,,,,
806,,,,,
807,,,,,
808,,,,,
809,,,,,
810,,,,,
811,,,,,
812,,,,,
813,,,,,
814,,,,,
815,,,,,
816,,,,,
817,,,,,
818,,,,,
819,,,,,
820,,,,,
821,,,,,
822,,,,,
823,,,,,
824,,,,,
825,,,,,
826,,,,,
827,,,,,
828,,,,,
829,,,,,
830,,,,,
831,,,,,
832,,,,,
833,,,,,
834,,,,,
835,,,,,
836,,,,,
837,,,,,
838,,,,,
839,,,,,
840,,,,,
841,,,,,
842,,,,,
843,,,,,
844,,,,,
845,,,,,
846,,,,,
847,,,,,
848,,,,,
849,,,,,
850,,,,,
851,,,,,
852,,,,,
853,,,,,
854,,,,,
855,,,,,
856,,,,,
857,,,,,
858,,,,,
859,,,,,
860,,,,,
861,,,,,
862,,,,,
863,,,,,
864,,,,,
865,,,,,
866,,,,,
867,,,,,
868,,,,,
869,,,,,
870,,,,,
871,,,,,
872,,,,,
873,,,,,
874,,,,,
875,,,,,
876,,,,,
877,,,,,
878,,,,,
879,,,,,
880,,,,,
881,,,,,
882,,,,,
883,,,,,
884,,,,,
885,,,,,
886,,,,,
887,,,,,
888,,,,,
889,,,,,
890,,,,,
891,,,,,
892,,,,,
893,,,,,
894,,,,,
895,,,,,
896,,,,,
897,,,,,
898,,,,,
899,,,,,
900,,,,,
901,,,,,
902,,,,,
903,,,,,
904,,,,,
905,,,,,
906,,,,,
907,,,,,
908,,,,,
909,,,,,
910,,,,,
911,,,,,
912,,,,,
913,,,,,
914,,,,,
915,,,,,
916,,,,,
917,,,,,
918,,,,,
919,,,,,
920,,,,,
921,,,,,
922,,,,,
923,,,,,
924,,,,,
925,,,,,
926,,,,,
927,,,,,
928,,,,,
929,,,,,
930,,,,,
931,,,,,
932,,,,,
933,,,,,
934,,,,,
935,,,,,
936,,,,,
937,,,,,
938,,,,,
939,,,,,
940,,,,,
941,,,,,
942,,,,,
943,,,,,
944,,,,,
945,,,,,
946,,,,,
947,,,,,
948,,,,,
949,,,,,
950,,,,,
951,,,,,
952,,,,,
953,,,,,
954,,,,,
955,,,,,
956,,,,,
957,,,,,
958,,,,,
959,,,,,
960,,,,,
961,,,,,
962,,,,,
963,,,,,
964,,,,,
965,,,,,
966,,,,,
967,,,,,
968,,,,,
969,,,,,
970,,,,,
971,,,,,
972,,,,,
973,,,,,
974,,,,,
975,,,,,
976,,,,,
977,,,,,
978,,,,,
979,,,,,
980,,,,,
981,,,,,
982,,,,,
983,,,,,
984,,,,,
985,,,,,
986,,,,,
987,,,,,
988,,,,,
989,,,,,
990,,,,,
991,,,,,
992,,,,,
993,,,,,
994,,,,,
995,,,,,
996,,,,,
997,,,,,
998,,,,,
999,,,,,
1000,,,,,
1001,,,,,
1002,,,,,
1003,,,,,
1004,,,,,
1005,,,,,
1006,,,,,
1007,,,,,
1008,,,,,
1009,,,,,
1010,,,,,
1011,,,,,
1012,,,,,
